Delivery_Surcharge_Amount,Actual_Delivery_Time_Minutes,Delivery_Distance_km,Outlet_Location_Type,Item_Weight_kg,Weather_Condition,Day_of_Week,Time_of_Day_Peak,Realtime_Courier_Availability,Local_Order_Volume
82.87,43.4,8.37,Tier 3,7.84,Heavy Snow,Thursday,Off-Peak,6,118
89.82,80.8,14.7,Tier 1,2.68,Clear,Monday,Morning Peak,27,386
86.78,42.2,1.83,Tier 3,2.11,Clear,Friday,Morning Peak,47,76
32.05,82.4,20.19,Tier 1,11.38,Clear,Saturday,Afternoon,13,460
22.9,54.3,5.28,Tier 2,4.15,Fog,Wednesday,Morning Peak,22,327
84.29,50.3,10.75,Tier 1,8.34,Clear,Friday,Afternoon,22,304
12.11,99.3,18.38,Tier 2,9.05,Clear,Saturday,Morning Peak,51,132
63.96,58.5,17.65,Tier 1,13.58,Clear,Saturday,Morning Peak,50,129
28.41,48.2,19.68,Tier 2,9.76,Clear,Monday,Morning Peak,4,402
47.66,74.9,14.57,Tier 1,1.64,Clear,Wednesday,Afternoon,55,457
68.62,55.2,4.31,Tier 1,6.28,Rain,Monday,Afternoon,10,84
123.22,56.9,17.02,Tier 3,0.26,Fog,Friday,Afternoon,5,220
42.56,22.5,11.58,Tier 1,0.23,Clear,Sunday,Dinner Peak,43,371
42.2,77.0,4.34,Tier 1,7.4,Clear,Friday,Afternoon,54,158
100.56,94.7,4.97,Tier 1,0.66,Fog,Wednesday,Afternoon,5,452
53.02,63.1,18.99,Tier 1,6.02,Clear,Wednesday,Afternoon,51,293
79.58,88.1,17.61,Tier 3,6.96,Rain,Wednesday,Morning Peak,1,195
25.82,46.5,12.85,Tier 2,11.39,Clear,Friday,Afternoon,8,128
34.78,85.2,6.89,Tier 1,4.91,Clear,Monday,Afternoon,39,250
69.77,51.6,2.01,Tier 1,9.96,Clear,Monday,Morning Peak,10,346
19.25,24.3,3.37,Tier 2,6.31,Clear,Friday,Afternoon,26,281
47.62,64.7,19.59,Tier 2,15.49,Rain,Tuesday,Afternoon,20,100
104.76,61.6,10.58,Tier 3,0.59,Clear,Tuesday,Afternoon,19,283
100.4,68.2,8.33,Tier 2,9.1,Heavy Snow,Friday,Off-Peak,44,470
42.89,59.9,18.9,Tier 3,11.62,Clear,Sunday,Morning Peak,37,291
31.66,57.2,12.76,Tier 1,12.66,Clear,Monday,Afternoon,12,458
48.0,31.9,18.48,Tier 1,9.28,Clear,Monday,Off-Peak,55,359
74.12,25.5,13.47,Tier 2,12.61,Clear,Friday,Afternoon,6,66
11.8,90.3,19.75,Tier 3,0.75,Clear,Sunday,Dinner Peak,58,63
99.98,40.0,4.46,Tier 3,13.24,Clear,Friday,Morning Peak,26,295
42.43,58.9,1.18,Tier 2,4.97,Rain,Saturday,Dinner Peak,36,10
125.06,50.9,5.37,Tier 2,10.17,Rain,Tuesday,Afternoon,6,226
39.07,48.8,9.54,Tier 1,0.37,Clear,Friday,Dinner Peak,58,34
95.64,76.0,16.99,Tier 1,15.08,Clear,Sunday,Dinner Peak,5,129
81.22,20.7,15.88,Tier 3,6.67,Fog,Friday,Dinner Peak,3,228
84.43,50.6,11.21,Tier 1,13.34,Rain,Wednesday,Afternoon,23,391
103.27,78.5,7.08,Tier 3,9.8,,Saturday,Off-Peak,19,365
52.06,72.0,0.7,Tier 2,10.49,Fog,Sunday,Off-Peak,15,382
60.42,26.8,2.1,Tier 1,7.57,Clear,Saturday,Morning Peak,37,429
19.03,60.1,16.51,Tier 1,4.79,,Friday,Dinner Peak,18,119
114.35,41.7,13.31,Tier 1,12.63,Clear,Tuesday,Dinner Peak,46,318
64.9,61.6,21.94,Tier 2,9.25,Rain,Wednesday,Dinner Peak,1,342
79.2,36.4,2.07,Tier 3,4.74,Heavy Snow,Tuesday,Dinner Peak,27,254
96.91,74.5,22.06,Tier 1,8.14,Rain,Saturday,Morning Peak,44,159
30.63,75.3,10.1,Tier 3,12.65,Rain,Sunday,Dinner Peak,23,130
39.11,90.5,14.04,Tier 2,7.38,Rain,Tuesday,Afternoon,38,393
73.48,78.0,19.37,Tier 1,5.16,Clear,Thursday,Dinner Peak,36,153
92.81,47.4,0.66,Tier 1,6.07,Heavy Snow,Wednesday,Dinner Peak,50,474
85.04,20.1,19.55,Tier 1,13.18,Rain,Saturday,Off-Peak,48,437
62.83,78.8,2.08,Tier 1,5.51,Clear,Monday,Afternoon,54,203
63.23,44.7,15.3,Tier 1,8.88,Clear,Friday,Morning Peak,40,391
81.09,43.2,11.83,Tier 2,13.16,Clear,Sunday,Morning Peak,42,422
53.12,64.1,14.24,Tier 1,3.71,Clear,Tuesday,Off-Peak,14,37
94.64,38.1,10.79,Tier 1,14.26,Clear,Wednesday,Dinner Peak,59,232
80.98,55.3,10.41,Tier 2,3.75,Clear,Tuesday,Morning Peak,29,21
114.62,79.9,7.8,Tier 2,8.66,Clear,Monday,Afternoon,5,480
97.82,97.2,16.97,Tier 1,6.29,Rain,Friday,Off-Peak,27,345
16.94,68.3,18.43,Tier 1,5.86,Clear,Sunday,Afternoon,41,26
52.71,23.0,7.41,Tier 1,12.3,Clear,Tuesday,Dinner Peak,8,147
63.7,49.4,3.53,Tier 3,10.19,Fog,Thursday,Morning Peak,43,146
35.16,37.9,16.03,Tier 1,7.4,Clear,Wednesday,Afternoon,17,430
67.16,61.5,6.95,Tier 1,2.87,Rain,Wednesday,Afternoon,7,211
10.98,44.3,7.38,Tier 2,14.59,Heavy Snow,Tuesday,Afternoon,10,488
115.29,58.5,4.79,Tier 1,16.42,Fog,Monday,Morning Peak,33,87
34.8,93.0,12.22,Tier 1,6.4,Clear,Sunday,Afternoon,52,286
54.3,59.8,7.66,Tier 1,9.57,Clear,Monday,Dinner Peak,31,214
13.76,89.9,13.13,Tier 1,6.29,Rain,Thursday,Afternoon,31,157
14.54,17.4,18.5,Tier 1,12.51,Rain,Wednesday,Afternoon,27,435
54.98,41.7,8.51,Tier 3,8.85,Fog,Saturday,Afternoon,31,411
60.63,71.3,11.03,Tier 1,3.5,Heavy Snow,Saturday,Dinner Peak,12,180
94.05,86.6,1.77,Tier 2,4.31,Heavy Snow,Thursday,Morning Peak,37,80
96.73,43.3,16.54,Tier 1,6.41,Rain,Sunday,Dinner Peak,17,272
22.57,34.7,6.61,Tier 1,8.13,Rain,Monday,Off-Peak,54,69
71.54,52.7,5.58,Tier 2,4.0,Heavy Snow,Monday,Off-Peak,49,93
97.7,18.9,13.14,Tier 1,12.07,Clear,Thursday,Dinner Peak,22,157
61.76,22.0,16.16,Tier 1,14.66,Fog,Friday,Off-Peak,9,451
54.96,31.8,17.45,Tier 1,0.45,Heavy Snow,Sunday,Morning Peak,56,152
28.37,33.9,16.43,Tier 1,9.25,Clear,Wednesday,Morning Peak,27,374
93.33,65.4,14.02,Tier 1,2.84,Clear,Saturday,Dinner Peak,47,30
64.1,34.6,9.16,Tier 3,9.49,Rain,Monday,Dinner Peak,55,311
40.53,74.9,15.56,Tier 3,9.86,Clear,Tuesday,Morning Peak,44,358
97.41,54.9,14.42,Tier 2,13.21,Clear,Friday,Afternoon,39,431
61.04,63.3,13.58,Tier 1,13.2,Rain,Wednesday,Morning Peak,52,376
38.46,21.9,11.35,Tier 3,6.29,Clear,Wednesday,Off-Peak,13,273
32.15,29.1,19.96,Tier 1,3.01,Rain,Sunday,Dinner Peak,52,58
39.55,33.7,17.16,Tier 1,3.59,Fog,Monday,Afternoon,54,207
93.59,34.3,17.86,Tier 3,6.58,Clear,Monday,Morning Peak,45,270
49.44,88.6,13.03,Tier 2,10.54,Clear,Friday,Off-Peak,36,22
71.97,33.8,3.92,Tier 2,14.53,Rain,Friday,Dinner Peak,40,336
10.56,33.4,14.15,Tier 2,6.77,Rain,Thursday,Morning Peak,38,378
114.27,18.6,21.82,Tier 3,3.01,Rain,Sunday,Morning Peak,30,107
20.44,51.2,21.32,Tier 2,8.12,Rain,Tuesday,Dinner Peak,6,7
110.43,51.6,6.6,Tier 1,4.29,Heavy Snow,Monday,Afternoon,11,245
106.66,58.9,2.33,Tier 2,6.84,Clear,Wednesday,Dinner Peak,20,82
32.35,32.0,4.72,Tier 1,11.71,Clear,Thursday,Afternoon,40,283
86.33,59.9,17.83,Tier 1,8.55,Rain,Thursday,Afternoon,14,43
35.36,93.5,5.4,Tier 2,9.81,Clear,Friday,Off-Peak,14,313
90.53,79.1,10.61,Tier 1,15.57,Clear,Monday,Dinner Peak,30,128
11.88,70.2,4.43,Tier 1,11.27,Clear,Sunday,Dinner Peak,27,386
56.76,15.7,2.75,Tier 1,11.11,Rain,Wednesday,Morning Peak,6,24
109.81,70.2,8.38,Tier 1,8.59,Clear,Wednesday,Afternoon,19,241
46.78,59.5,4.37,Tier 2,11.73,Heavy Snow,Saturday,Dinner Peak,14,221
19.87,66.0,1.27,Tier 1,8.53,Clear,Monday,Dinner Peak,22,439
44.8,35.4,6.5,Tier 1,1.68,Rain,Monday,Afternoon,24,55
39.24,53.4,8.87,Tier 3,6.81,Clear,Tuesday,Afternoon,38,182
10.22,35.6,12.96,Tier 3,13.56,Rain,Saturday,Afternoon,14,53
61.76,57.8,16.32,Tier 3,5.81,Fog,Sunday,Afternoon,51,219
71.02,65.1,4.54,Tier 1,1.89,Clear,Monday,Off-Peak,6,294
68.22,25.3,7.68,Tier 3,14.36,Rain,Monday,Morning Peak,50,108
92.01,16.7,3.08,Tier 1,9.75,Rain,Monday,Afternoon,53,486
25.96,42.0,4.78,Tier 1,6.45,Clear,Tuesday,Morning Peak,26,339
16.0,38.6,5.49,Tier 2,4.25,Clear,Thursday,Dinner Peak,34,209
129.84,53.1,1.1,Tier 1,12.58,Rain,Monday,Dinner Peak,19,199
100.24,47.1,20.8,Tier 2,5.17,Clear,Sunday,Off-Peak,52,353
63.69,46.5,4.59,Tier 1,5.87,Heavy Snow,Friday,Morning Peak,23,290
55.49,45.5,16.74,Tier 2,8.81,Rain,Thursday,Morning Peak,12,159
29.85,67.8,13.29,Tier 1,13.91,Clear,Monday,Dinner Peak,51,85
112.15,40.4,11.82,Tier 3,1.3,Rain,Monday,Afternoon,21,48
24.32,54.9,9.18,Tier 3,7.61,Heavy Snow,Friday,Afternoon,14,213
12.59,57.2,15.91,Tier 1,7.6,Clear,Tuesday,Morning Peak,51,186
9.5,73.3,0.81,Tier 1,5.89,Clear,Wednesday,Afternoon,10,52
38.72,28.7,16.3,Tier 2,1.14,Clear,Friday,Morning Peak,54,393
50.59,93.1,4.61,Tier 1,12.33,Clear,Thursday,Afternoon,28,123
66.52,42.3,11.38,Tier 2,9.98,Clear,Thursday,Morning Peak,12,118
76.46,43.6,2.93,Tier 2,8.48,Clear,Sunday,Afternoon,20,315
41.76,27.0,10.01,Tier 1,15.21,Clear,Sunday,Morning Peak,41,303
67.6,74.4,1.14,Tier 2,3.54,Clear,Sunday,Off-Peak,33,154
84.66,22.2,3.17,Tier 2,12.73,Clear,Wednesday,Afternoon,30,396
71.18,63.3,16.71,Tier 1,1.72,Rain,Saturday,Dinner Peak,5,155
10.33,67.9,8.41,Tier 1,11.44,Clear,Saturday,Dinner Peak,19,378
101.88,73.5,13.11,Tier 2,1.0,Rain,Saturday,Off-Peak,1,369
15.29,73.9,15.23,Tier 2,16.25,Rain,Monday,Dinner Peak,18,437
56.42,65.0,4.16,Tier 3,3.66,Rain,Monday,Dinner Peak,51,459
14.56,69.1,18.27,Tier 2,12.71,Clear,Wednesday,Dinner Peak,25,182
95.19,29.0,18.56,Tier 1,1.03,Rain,Tuesday,Afternoon,2,319
84.02,54.8,2.35,Tier 2,9.95,Clear,Tuesday,Dinner Peak,27,314
44.79,21.5,18.67,Tier 1,15.37,Clear,Tuesday,Morning Peak,59,28
56.93,66.0,8.9,Tier 2,12.83,Clear,Saturday,Dinner Peak,15,475
46.71,30.0,13.39,Tier 1,14.29,Rain,Wednesday,Off-Peak,22,465
126.99,25.5,15.92,Tier 2,5.58,Clear,Sunday,Afternoon,4,75
50.32,75.4,12.13,Tier 2,0.75,Rain,Saturday,Afternoon,46,301
36.59,79.3,18.25,Tier 1,15.64,Clear,Sunday,Morning Peak,44,307
44.56,57.0,9.15,Tier 1,12.66,Clear,Saturday,Off-Peak,28,97
117.4,65.2,13.84,Tier 1,11.82,Clear,Saturday,Morning Peak,9,381
100.19,39.7,6.16,Tier 1,7.06,Heavy Snow,Saturday,Morning Peak,5,218
52.16,24.5,17.06,Tier 3,6.97,Heavy Snow,Sunday,Afternoon,51,130
21.55,68.5,7.65,Tier 1,2.82,Clear,Saturday,Off-Peak,20,99
22.8,57.1,13.44,Tier 1,14.26,Rain,Wednesday,Off-Peak,30,330
73.21,42.6,6.47,Tier 1,5.1,Clear,Thursday,Off-Peak,1,127
65.43,21.8,20.71,Tier 3,4.87,Fog,Monday,Off-Peak,51,134
77.25,23.1,14.93,Tier 2,10.73,Heavy Snow,Wednesday,Afternoon,26,349
43.53,29.2,4.06,Tier 2,14.04,Rain,Friday,Off-Peak,2,298
68.02,90.1,1.12,Tier 1,14.46,Clear,Sunday,Dinner Peak,57,383
73.79,27.1,8.14,Tier 2,11.81,Clear,Tuesday,Dinner Peak,32,374
113.01,56.0,1.0,Tier 2,2.54,Fog,Saturday,Morning Peak,21,362
38.23,57.0,10.48,Tier 1,6.67,Rain,Friday,Dinner Peak,47,220
86.97,45.5,12.53,Tier 1,7.48,Rain,Sunday,Afternoon,53,499
99.21,93.0,6.22,Tier 1,7.41,Clear,Tuesday,Morning Peak,38,135
88.23,33.5,5.56,Tier 1,4.29,Clear,Sunday,Off-Peak,56,119
52.92,55.3,15.63,Tier 1,14.96,Rain,Thursday,Afternoon,37,384
89.1,17.6,15.34,Tier 3,3.47,Rain,Saturday,Morning Peak,18,170
78.12,66.8,8.71,Tier 1,10.14,Clear,Monday,Afternoon,28,319
67.5,37.4,13.07,Tier 2,10.45,Clear,Monday,Dinner Peak,47,123
71.77,68.1,9.05,Tier 2,7.7,Rain,Sunday,Afternoon,10,7
18.71,88.0,1.38,Tier 1,8.65,Clear,Wednesday,Afternoon,32,102
113.58,72.7,11.46,Tier 3,11.43,Fog,Monday,Afternoon,1,261
38.06,77.9,7.67,Tier 1,10.4,Fog,Saturday,Dinner Peak,2,33
32.39,84.2,7.72,Tier 1,14.17,Rain,Thursday,Afternoon,5,292
37.51,20.1,17.48,Tier 2,13.71,Clear,Monday,Off-Peak,44,479
56.21,66.2,17.06,Tier 1,2.49,Clear,Tuesday,Afternoon,41,27
106.35,66.4,15.31,Tier 2,14.74,Fog,Wednesday,Dinner Peak,27,266
94.99,27.6,5.29,Tier 1,11.36,,Friday,Morning Peak,50,236
87.36,60.8,10.14,Tier 3,5.8,Clear,Thursday,Morning Peak,33,60
50.68,21.1,14.27,Tier 2,15.17,Clear,Monday,Dinner Peak,46,241
13.75,42.7,19.41,Tier 1,10.89,Fog,Tuesday,Dinner Peak,43,187
118.21,58.1,17.59,Tier 1,8.82,Clear,Tuesday,Morning Peak,18,347
52.28,28.1,3.42,Tier 3,10.12,Clear,Thursday,Morning Peak,56,241
29.39,57.7,11.65,Tier 1,3.15,Rain,Sunday,Off-Peak,15,448
55.23,43.7,1.46,Tier 1,11.48,Clear,Wednesday,Dinner Peak,34,357
62.01,47.6,17.21,Tier 1,9.53,Clear,Thursday,Afternoon,59,486
125.38,44.0,1.98,Tier 1,2.24,Clear,Sunday,Dinner Peak,38,54
51.98,39.6,16.1,Tier 1,7.79,Clear,Tuesday,Afternoon,54,461
115.36,45.9,14.1,Tier 2,11.59,Clear,Saturday,Afternoon,19,176
79.83,74.9,4.12,Tier 1,12.42,Clear,Friday,Dinner Peak,25,71
33.51,61.6,12.99,Tier 3,5.83,Rain,Wednesday,Off-Peak,43,224
36.32,85.9,12.0,Tier 3,12.21,Clear,Thursday,Morning Peak,58,411
48.76,18.4,18.91,Tier 2,13.48,Rain,Sunday,Dinner Peak,33,364
101.23,55.9,18.47,Tier 2,4.9,Clear,Saturday,Morning Peak,6,7
77.4,79.5,12.26,Tier 1,9.3,Clear,Friday,Dinner Peak,40,115
54.41,46.1,10.17,Tier 1,8.9,Clear,Saturday,Dinner Peak,7,198
98.57,65.2,16.64,Tier 1,0.69,Fog,Tuesday,Afternoon,35,300
13.8,65.3,5.85,Tier 2,13.53,Clear,Sunday,Dinner Peak,9,56
98.06,38.1,8.69,Tier 2,15.13,Clear,Tuesday,Afternoon,43,244
59.66,40.1,18.15,Tier 3,4.3,Clear,Thursday,Off-Peak,24,83
22.33,79.0,10.64,Tier 1,14.73,Clear,Tuesday,Morning Peak,53,300
57.8,87.6,5.52,Tier 3,12.79,Rain,Monday,Dinner Peak,58,107
105.05,24.9,16.14,Tier 1,1.98,Clear,Wednesday,Morning Peak,34,265
9.81,40.9,9.03,Tier 1,1.56,Rain,Saturday,Afternoon,24,133
99.24,41.0,16.74,Tier 1,3.1,Clear,Sunday,Morning Peak,23,489
59.11,21.6,3.46,Tier 1,7.63,Rain,Saturday,Morning Peak,48,268
77.22,70.5,18.59,Tier 1,11.52,Rain,Saturday,Afternoon,54,136
75.19,21.4,10.52,Tier 3,11.64,Rain,Saturday,Morning Peak,14,234
84.77,55.1,3.6,Tier 3,3.17,Clear,Sunday,Afternoon,32,348
29.17,55.5,11.66,Tier 2,10.87,Clear,Thursday,Afternoon,16,68
38.49,69.4,8.85,Tier 2,11.17,Clear,Monday,Off-Peak,21,96
45.21,31.3,16.91,Tier 1,7.88,Clear,Tuesday,Afternoon,1,420
103.36,38.4,14.97,Tier 2,11.79,Clear,Tuesday,Morning Peak,17,251
69.83,34.1,13.62,Tier 2,13.29,Rain,Sunday,Off-Peak,51,208
86.04,50.4,3.64,Tier 1,5.18,,Friday,Morning Peak,41,221
20.77,40.9,16.28,Tier 2,6.48,Rain,Saturday,Dinner Peak,24,214
95.43,49.4,10.65,Tier 2,13.79,Clear,Friday,Morning Peak,7,421
14.74,50.2,14.39,Tier 1,2.14,Clear,Thursday,Off-Peak,54,496
55.81,25.6,8.54,Tier 2,5.14,Rain,Tuesday,Morning Peak,56,173
88.18,48.8,10.37,Tier 1,3.19,Clear,Sunday,Afternoon,30,144
88.67,47.7,9.01,Tier 1,5.75,Clear,Sunday,Afternoon,26,92
100.17,45.7,11.77,Tier 1,15.28,Clear,Monday,Dinner Peak,40,217
11.45,32.9,12.35,Tier 1,11.83,Clear,Monday,Afternoon,19,225
120.58,29.1,10.57,Tier 1,5.1,Clear,Tuesday,Dinner Peak,27,235
59.79,70.2,9.91,Tier 1,12.67,Clear,Friday,Dinner Peak,15,342
32.33,45.6,3.23,Tier 1,3.85,Heavy Snow,Friday,Afternoon,14,286
92.09,53.0,5.25,Tier 2,11.75,Clear,Tuesday,Afternoon,48,108
108.21,26.6,2.13,Tier 3,8.82,Clear,Tuesday,Afternoon,27,254
53.55,20.8,7.56,Tier 3,8.78,Fog,Sunday,Morning Peak,7,363
111.44,46.3,10.78,Tier 2,4.45,Rain,Thursday,Off-Peak,51,323
109.01,29.2,18.99,Tier 1,7.21,Clear,Sunday,Dinner Peak,50,298
104.89,78.5,1.78,Tier 1,8.97,Clear,Monday,Off-Peak,39,223
48.73,29.3,7.76,Tier 1,13.7,Clear,Sunday,Morning Peak,48,141
66.15,46.2,15.04,Tier 1,7.68,Clear,Sunday,Dinner Peak,13,209
53.37,48.8,17.4,Tier 3,9.46,Rain,Monday,Off-Peak,24,102
75.66,67.2,17.11,Tier 1,0.28,Rain,Sunday,Afternoon,8,190
104.83,78.8,11.52,Tier 3,5.79,Rain,Thursday,Afternoon,28,16
32.44,80.8,8.12,Tier 1,3.21,Clear,Thursday,Afternoon,9,197
24.55,28.9,16.52,Tier 1,12.4,Clear,Tuesday,Off-Peak,38,313
96.37,87.9,8.05,Tier 2,6.89,Clear,Sunday,Dinner Peak,28,442
15.72,55.0,19.13,Tier 1,7.72,Clear,Sunday,Dinner Peak,58,102
67.47,83.9,7.7,Tier 2,5.42,Clear,Sunday,Dinner Peak,49,65
79.71,60.3,2.37,Tier 1,7.97,Clear,Thursday,Off-Peak,52,27
25.4,33.5,5.14,Tier 2,8.13,Clear,Monday,Morning Peak,5,11
94.6,42.9,4.47,Tier 1,5.97,Clear,Thursday,Morning Peak,31,172
37.5,89.6,17.94,Tier 1,10.29,Rain,Tuesday,Dinner Peak,17,166
73.64,39.2,19.07,Tier 1,10.35,Rain,Monday,Dinner Peak,28,28
54.01,14.4,6.15,Tier 1,13.41,Clear,Tuesday,Dinner Peak,55,378
68.12,23.8,7.19,Tier 3,11.09,Heavy Snow,Wednesday,Afternoon,56,39
77.73,79.3,13.81,Tier 1,10.28,Clear,Thursday,Afternoon,25,251
65.39,14.5,13.09,Tier 3,6.18,Rain,Saturday,Morning Peak,40,74
71.24,68.8,15.14,Tier 2,9.28,Rain,Monday,Dinner Peak,41,191
24.22,49.3,18.5,Tier 1,1.35,Clear,Sunday,Morning Peak,35,97
28.71,54.8,10.78,Tier 2,10.26,Clear,Saturday,Afternoon,38,284
48.48,59.1,13.97,Tier 1,1.56,Clear,Saturday,Afternoon,17,74
69.95,37.5,14.77,Tier 1,10.75,Clear,Tuesday,Afternoon,30,243
94.36,76.9,19.66,Tier 1,2.96,Clear,Wednesday,Afternoon,42,444
107.0,96.5,16.97,Tier 1,12.31,Clear,Sunday,Dinner Peak,59,270
12.37,31.1,12.4,Tier 1,11.85,Rain,Saturday,Off-Peak,13,250
97.28,15.4,3.94,Tier 3,1.05,Rain,Thursday,Afternoon,45,386
55.41,41.9,15.78,Tier 2,1.84,Clear,Tuesday,Morning Peak,20,232
47.07,56.8,16.58,Tier 2,4.32,Heavy Snow,Wednesday,Dinner Peak,19,340
64.27,33.2,13.96,Tier 2,14.07,Rain,Tuesday,Dinner Peak,26,86
90.04,30.6,15.57,Tier 2,4.28,Rain,Saturday,Afternoon,57,417
117.97,57.3,7.03,Tier 1,9.55,Clear,Thursday,Morning Peak,52,29
94.72,78.6,1.95,Tier 2,2.28,Clear,Saturday,Afternoon,23,196
93.51,61.9,16.57,Tier 1,3.7,Rain,Thursday,Dinner Peak,56,342
94.66,48.2,3.45,Tier 2,1.82,Rain,Monday,Afternoon,53,171
14.57,94.4,2.41,Tier 1,11.69,Clear,Friday,Afternoon,9,54
89.7,34.4,6.48,Tier 2,2.58,Rain,Monday,Off-Peak,39,365
59.97,98.7,1.0,Tier 1,9.67,Fog,Tuesday,Afternoon,17,259
48.15,60.4,2.68,Tier 2,10.83,Clear,Wednesday,Morning Peak,37,77
66.73,33.8,8.15,Tier 3,6.56,Fog,Saturday,Afternoon,45,292
84.2,28.7,2.35,Tier 1,11.55,Clear,Sunday,Dinner Peak,22,217
11.2,36.9,16.86,Tier 3,15.43,Heavy Snow,Wednesday,Afternoon,34,92
92.58,53.5,6.26,Tier 1,5.75,Heavy Snow,Sunday,Off-Peak,27,349
128.66,40.6,3.13,Tier 2,8.98,Clear,Wednesday,Dinner Peak,6,284
63.81,24.4,18.38,Tier 1,15.33,Clear,Monday,Morning Peak,37,303
55.28,56.5,19.16,Tier 1,8.02,Rain,Thursday,Off-Peak,31,375
45.32,27.1,7.25,Tier 1,8.16,Clear,Monday,Afternoon,47,460
75.62,84.3,19.94,Tier 1,9.31,Clear,Wednesday,Dinner Peak,4,8
71.04,32.0,19.31,Tier 1,12.97,Fog,Monday,Off-Peak,19,178
12.07,19.8,17.28,Tier 2,6.47,Clear,Friday,Off-Peak,44,203
48.52,29.0,13.42,Tier 3,2.24,Rain,Wednesday,Afternoon,35,120
98.82,56.5,8.91,Tier 1,13.23,Clear,Sunday,Dinner Peak,39,467
126.79,76.7,3.46,Tier 1,10.46,Clear,Monday,Morning Peak,27,245
78.39,46.1,5.86,Tier 1,7.16,Clear,Tuesday,Off-Peak,48,325
103.38,65.4,5.64,Tier 1,11.01,Clear,Friday,Off-Peak,18,379
85.83,17.3,6.41,Tier 3,0.23,Clear,Tuesday,Morning Peak,52,221
41.55,16.4,1.9,Tier 2,3.43,Rain,Friday,Dinner Peak,42,335
56.99,31.4,9.02,Tier 1,7.79,Fog,Tuesday,Morning Peak,34,243
55.74,48.9,17.73,Tier 2,9.57,Rain,Sunday,Morning Peak,24,285
64.09,16.2,7.73,Tier 2,8.34,Clear,Tuesday,Dinner Peak,16,493
53.97,56.2,16.91,Tier 1,6.66,Heavy Snow,Sunday,Dinner Peak,9,482
74.94,46.0,0.96,Tier 1,12.59,Fog,Thursday,Off-Peak,54,460
23.57,52.7,1.69,Tier 1,12.2,Clear,Sunday,Morning Peak,40,103
118.07,61.1,7.4,Tier 1,11.4,Clear,Friday,Morning Peak,28,344
10.89,71.4,1.64,Tier 1,11.53,Clear,Wednesday,Afternoon,17,217
109.19,41.5,18.33,Tier 1,1.67,Clear,Saturday,Afternoon,50,208
57.52,18.3,14.09,Tier 2,8.64,Clear,Tuesday,Afternoon,22,145
35.55,51.8,16.82,Tier 3,8.5,Clear,Monday,Morning Peak,2,32
